자치구,행정동,성별,연령대,총인구,1인가구,사회성,평일이동,휴일이동,기타이동,적은이동,많은이동,영상,생활,재정,"이동-
사회성"
강남구,개포1동,1,20,590,223,36,20,16,4,0,23,12,4,0,0
강남구,개포1동,1,25,526,182,17,11,14,14,0,18,11,17,6,0
강남구,개포1동,1,30,443,98,0,7,7,10,0,18,2,10,5,0
강남구,개포1동,1,35,364,79,18,3,8,5,0,19,12,3,0,0
강남구,개포1동,1,40,283,44,4,9,9,4,0,7,4,6,5,0
강남구,개포1동,1,45,488,72,6,9,7,6,0,13,3,3,10,0
강남구,개포1동,1,50,629,79,23,8,4,6,0,6,17,4,19,0
강남구,개포1동,1,55,606,75,3,2,2,2,0,6,5,5,11,0
강남구,개포1동,1,60,449,66,11,9,3,8,0,4,8,9,5,0
강남구,개포1동,1,65,335,72,7,2,18,1,0,2,3,4,10,0
강남구,개포1동,1,70,187,38,4,0,1,0,0,1,1,0,1,0
강남구,개포1동,1,75,109,22,1,0,1,1,0,0,1,0,1,0
강남구,개포1동,1,80,80,20,0,0,1,1,0,0,2,0,1,0
강남구,개포1동,1,85,36,7,1,1,1,2,0,0,2,0,1,2
강남구,개포1동,1,90,8,1,1,0,0,0,0,0,0,0,0,0
강남구,개포1동,2,20,510,199,4,4,4,0,0,14,4,16,12,0
강남구,개포1동,2,25,546,200,17,14,11,14,0,20,11,28,6,0
강남구,개포1동,2,30,490,75,11,4,4,4,0,15,6,9,4,0
강남구,개포1동,2,35,362,38,4,1,8,3,0,8,1,1,1,0
강남구,개포1동,2,40,399,21,1,4,3,6,0,3,1,2,1,0
강남구,개포1동,2,45,620,36,2,6,6,16,0,5,6,4,0,0
강남구,개포1동,2,50,698,38,3,3,3,8,0,2,5,0,5,0
강남구,개포1동,2,55,736,54,3,8,8,8,0,4,3,3,11,0
강남구,개포1동,2,60,505,69,6,17,1,21,0,3,10,4,0,0
강남구,개포1동,2,65,331,72,2,7,6,4,0,1,6,4,4,0
강남구,개포1동,2,70,254,53,1,6,2,8,0,1,6,3,4,0
강남구,개포1동,2,75,173,51,0,2,5,5,0,0,3,2,5,0
강남구,개포1동,2,80,92,28,0,0,1,2,0,0,2,1,2,0
강남구,개포1동,2,85,20,8,1,2,1,3,0,0,1,0,0,2
강남구,개포1동,2,90,12,1,0,0,0,0,0,0,0,0,0,7
강남구,개포2동,1,20,"1,410",433,46,26,24,32,0,37,48,14,16,0
강남구,개포2동,1,25,"1,134",363,31,14,18,15,0,33,33,47,28,0
강남구,개포2동,1,30,"1,494",307,23,23,20,24,0,57,23,24,18,0
강남구,개포2동,1,35,"1,312",253,29,7,19,13,0,56,20,13,17,0
강남구,개포2동,1,40,"1,360",205,31,25,31,12,0,37,26,25,26,0
강남구,개포2동,1,45,"1,539",227,31,25,27,13,0,38,19,14,21,0
강남구,개포2동,1,50,"1,664",250,39,21,25,14,0,19,26,38,53,0
강남구,개포2동,1,55,"1,335",184,22,15,13,12,0,13,22,21,22,0
강남구,개포2동,1,60,"1,011",150,15,18,18,14,0,8,13,26,14,0
강남구,개포2동,1,65,634,104,9,1,20,3,0,3,5,8,17,0
강남구,개포2동,1,70,352,59,6,1,3,3,0,1,3,4,6,0
강남구,개포2동,1,75,232,54,1,1,6,1,0,1,2,1,7,0
강남구,개포2동,1,80,109,29,2,0,3,0,0,0,0,1,4,0
강남구,개포2동,1,85,29,7,0,0,0,1,0,0,1,0,1,0
강남구,개포2동,1,90,4,2,1,0,0,0,0,0,0,0,0,0
강남구,개포2동,2,20,"1,325",395,25,18,16,19,0,36,22,16,5,0
강남구,개포2동,2,25,"1,080",345,23,10,21,14,0,36,17,30,21,0
강남구,개포2동,2,30,"1,512",247,11,31,17,28,0,52,11,13,15,0
강남구,개포2동,2,35,"1,349",123,6,13,6,22,0,23,8,13,4,0
강남구,개포2동,2,40,"1,481",95,4,16,10,24,0,16,8,10,11,0
강남구,개포2동,2,45,"1,950",99,15,24,13,24,0,14,15,12,4,0
강남구,개포2동,2,50,"1,659",84,5,12,11,18,0,5,10,16,11,0
강남구,개포2동,2,55,"1,504",77,7,18,13,14,0,4,11,11,5,0
강남구,개포2동,2,60,"1,098",140,11,36,9,41,0,5,26,16,8,0
강남구,개포2동,2,65,707,147,7,6,11,10,0,2,11,11,10,0
강남구,개포2동,2,70,591,126,5,9,0,13,0,2,14,11,9,0
강남구,개포2동,2,75,261,81,2,1,7,3,0,1,2,8,10,0
강남구,개포2동,2,80,132,39,2,0,2,2,0,0,2,3,3,0
강남구,개포2동,2,85,59,17,3,1,2,1,0,0,1,3,0,3
강남구,개포2동,2,90,22,6,3,2,0,2,0,0,1,0,0,13
강남구,개포4동,1,20,722,225,13,13,16,21,0,15,19,15,10,0
강남구,개포4동,1,25,796,218,18,13,13,19,0,25,21,23,18,0
강남구,개포4동,1,30,970,189,12,7,17,14,0,39,14,29,15,0
강남구,개포4동,1,35,880,170,18,7,15,10,0,33,19,16,10,0
강남구,개포4동,1,40,875,126,20,10,25,13,0,23,19,18,20,0
강남구,개포4동,1,45,908,147,17,12,25,14,0,25,11,20,9,0
강남구,개포4동,1,50,917,130,19,7,11,8,0,10,14,12,33,0
강남구,개포4동,1,55,811,118,14,11,17,11,0,8,14,20,23,0
강남구,개포4동,1,60,592,90,11,7,11,9,0,5,12,20,7,0
강남구,개포4동,1,65,390,78,7,4,11,5,0,2,5,6,11,0
강남구,개포4동,1,70,241,44,4,0,0,3,0,1,6,3,4,0
강남구,개포4동,1,75,155,45,1,1,4,1,0,1,1,0,5,3
강남구,개포4동,1,80,83,22,1,1,2,0,0,0,1,1,3,1
강남구,개포4동,1,85,19,7,1,0,0,0,0,0,1,0,0,3
강남구,개포4동,1,90,5,1,1,0,0,0,0,0,0,0,0,0
강남구,개포4동,2,20,730,262,15,12,10,18,0,21,13,10,4,0
강남구,개포4동,2,25,826,275,22,11,16,22,0,33,15,25,19,0
강남구,개포4동,2,30,881,139,3,16,14,13,0,30,11,9,7,0
강남구,개포4동,2,35,838,88,10,3,8,10,0,18,9,10,3,0
강남구,개포4동,2,40,933,69,11,9,7,18,0,11,15,11,6,0
강남구,개포4동,2,45,"1,080",83,3,8,14,13,0,14,3,12,6,0
강남구,개포4동,2,50,949,60,9,5,6,6,0,4,7,4,7,0
강남구,개포4동,2,55,946,64,10,4,12,7,0,4,9,10,12,0
강남구,개포4동,2,60,646,92,4,18,10,23,0,4,11,11,3,0
강남구,개포4동,2,65,414,91,5,9,10,12,0,1,8,11,12,0
강남구,개포4동,2,70,334,80,4,7,1,7,0,1,9,14,6,0
강남구,개포4동,2,75,197,57,1,3,6,4,0,1,2,4,6,1
강남구,개포4동,2,80,110,33,1,1,4,1,0,0,1,2,2,2
강남구,개포4동,2,85,49,12,1,0,1,1,0,0,0,1,0,0
강남구,개포4동,2,90,14,3,0,0,0,0,0,0,0,0,0,0
강남구,논현1동,1,20,693,133,13,10,12,8,0,17,10,10,11,0
강남구,논현1동,1,25,"1,322",281,25,7,35,8,0,47,21,44,34,0
강남구,논현1동,1,30,"1,727",343,27,12,39,25,0,73,28,52,37,0
강남구,논현1동,1,35,"1,309",295,42,11,30,11,0,61,42,39,28,0
강남구,논현1동,1,40,"1,015",147,32,7,31,9,0,29,30,35,31,0
강남구,논현1동,1,45,794,121,21,13,19,10,0,21,22,26,18,0
강남구,논현1동,1,50,669,105,28,8,15,9,0,7,21,17,30,0
강남구,논현1동,1,55,648,97,19,7,18,7,0,6,18,25,21,0
강남구,논현1동,1,60,532,83,13,16,10,13,0,4,15,19,12,0
강남구,논현1동,1,65,417,92,10,4,16,5,0,1,4,7,12,0
강남구,논현1동,1,70,277,55,6,5,1,4,0,1,2,5,6,0
강남구,논현1동,1,75,205,55,3,4,5,3,1,1,5,1,6,6
강남구,논현1동,1,80,122,34,1,5,2,3,0,0,2,0,4,9
강남구,논현1동,1,85,38,12,1,3,0,2,0,0,2,0,0,7
강남구,논현1동,1,90,13,2,0,0,1,0,0,0,0,0,0,2
강남구,논현1동,2,20,930,207,8,11,17,9,0,23,11,24,16,0
강남구,논현1동,2,25,"1,843",383,17,6,43,11,0,66,11,52,41,0
강남구,논현1동,2,30,"2,068",393,23,18,44,16,0,81,34,65,41,0
강남구,논현1동,2,35,"1,460",273,27,9,30,8,0,54,28,50,24,0
강남구,논현1동,2,40,953,107,16,8,22,8,0,20,20,34,28,0
강남구,논현1동,2,45,745,85,13,7,20,7,0,15,17,26,13,0
강남구,논현1동,2,50,780,79,16,7,12,8,0,5,15,18,24,0
강남구,논현1동,2,55,834,73,15,1,18,2,0,5,10,17,17,0
강남구,논현1동,2,60,664,102,12,21,13,30,0,4,18,21,14,0
강남구,논현1동,2,65,510,111,7,15,14,10,0,1,9,19,21,0
강남구,논현1동,2,70,363,79,9,13,1,7,0,1,5,10,7,0
강남구,논현1동,2,75,237,72,2,10,6,6,1,1,4,4,7,13
강남구,논현1동,2,80,132,41,5,5,2,5,2,0,4,2,3,12
강남구,논현1동,2,85,70,19,2,0,0,0,0,0,0,2,2,4
강남구,논현1동,2,90,11,5,0,2,0,2,0,0,2,1,0,0
강남구,논현2동,1,20,618,165,16,11,8,13,0,15,14,10,10,0
강남구,논현2동,1,25,908,212,21,9,21,10,0,34,17,20,23,0
강남구,논현2동,1,30,"1,240",242,30,13,30,19,0,52,25,26,14,0
강남구,논현2동,1,35,"1,149",246,30,8,30,11,0,53,24,23,22,0
강남구,논현2동,1,40,995,146,25,9,18,7,0,27,27,29,32,0
강남구,논현2동,1,45,778,121,28,9,16,12,0,21,25,26,20,0
강남구,논현2동,1,50,697,100,27,7,11,7,0,6,26,14,23,0
강남구,논현2동,1,55,631,87,19,5,10,7,0,5,18,16,13,0
강남구,논현2동,1,60,509,73,12,14,8,11,0,4,12,13,8,0
강남구,논현2동,1,65,521,98,14,3,18,6,0,2,6,8,19,0
강남구,논현2동,1,70,297,54,6,7,3,4,0,1,4,4,5,0
강남구,논현2동,1,75,219,55,1,3,8,2,0,1,4,0,6,3
강남구,논현2동,1,80,129,31,1,2,5,2,0,0,2,0,3,5
강남구,논현2동,1,85,51,14,1,1,1,1,0,0,1,0,0,2
강남구,논현2동,1,90,9,2,0,1,0,0,0,0,2,0,0,4
강남구,논현2동,2,20,710,194,8,8,11,7,0,20,2,11,10,0
강남구,논현2동,2,25,"1,302",310,12,8,21,11,0,45,15,36,29,0
강남구,논현2동,2,30,"1,571",293,20,18,26,22,0,60,25,35,20,0
강남구,논현2동,2,35,"1,265",195,15,4,19,6,0,41,17,26,15,0
강남구,논현2동,2,40,"1,010",114,16,7,18,14,0,22,18,35,19,0
강남구,논현2동,2,45,800,70,9,7,7,6,0,12,13,17,9,0
강남구,논현2동,2,50,769,68,17,4,7,5,0,4,14,11,14,0
강남구,논현2동,2,55,798,62,11,4,8,5,0,4,11,10,8,0
강남구,논현2동,2,60,701,104,19,29,14,24,0,4,24,18,16,0
강남구,논현2동,2,65,544,118,7,14,5,12,0,1,10,11,16,0
강남구,논현2동,2,70,317,73,4,12,1,10,0,1,8,10,5,0
강남구,논현2동,2,75,247,83,2,11,8,13,1,1,6,2,8,9
강남구,논현2동,2,80,131,40,1,3,1,5,0,0,3,4,4,4
강남구,논현2동,2,85,55,17,4,3,1,2,0,0,2,3,1,4
강남구,논현2동,2,90,16,4,0,0,0,0,0,0,0,0,0,0
강남구,대치1동,1,20,579,196,16,16,9,13,0,17,16,16,8,0
강남구,대치1동,1,25,358,119,9,11,7,11,0,9,13,15,8,0
강남구,대치1동,1,30,250,57,6,6,8,7,0,11,4,11,5,0
강남구,대치1동,1,35,313,66,9,2,5,3,0,13,6,2,6,0
강남구,대치1동,1,40,756,110,25,9,13,5,0,20,19,9,11,0
강남구,대치1동,1,45,"1,401",216,29,14,17,12,0,36,21,17,13,0
강남구,대치1동,1,50,"1,158",175,24,13,17,11,0,14,17,9,40,0
강남구,대치1동,1,55,622,94,10,6,6,5,0,8,8,10,15,0
강남구,대치1동,1,60,413,61,4,9,5,5,0,4,3,11,4,0
강남구,대치1동,1,65,324,56,4,2,12,1,0,1,2,2,7,0
강남구,대치1동,1,70,220,32,4,2,2,2,0,0,3,1,2,0
강남구,대치1동,1,75,150,34,1,2,1,3,0,0,3,0,4,2
강남구,대치1동,1,80,86,22,1,2,2,2,0,0,1,1,3,1
강남구,대치1동,1,85,29,7,0,0,1,0,0,0,0,0,0,1
강남구,대치1동,1,90,1,0,0,0,0,0,0,0,0,0,0,0
강남구,대치1동,2,20,621,236,14,26,10,20,0,18,16,13,4,0
강남구,대치1동,2,25,426,156,13,6,13,11,0,14,12,22,7,0
강남구,대치1동,2,30,311,61,1,3,6,9,0,12,3,7,2,0
강남구,대치1동,2,35,483,50,4,3,2,6,0,10,4,4,0,0
강남구,대치1동,2,40,"1,317",89,21,20,6,30,0,13,21,7,8,0
강남구,대치1동,2,45,"1,499",92,11,32,8,34,0,11,16,14,5,0
강남구,대치1동,2,50,864,39,6,9,1,8,0,2,8,2,4,0
강남구,대치1동,2,55,600,32,5,4,3,6,0,2,4,4,4,0
강남구,대치1동,2,60,420,46,3,12,4,12,0,2,5,4,4,0
강남구,대치1동,2,65,299,56,3,3,5,6,0,1,5,3,3,0
강남구,대치1동,2,70,238,50,3,4,0,8,0,1,7,3,1,0
강남구,대치1동,2,75,133,39,1,2,2,4,0,0,3,1,2,1
강남구,대치1동,2,80,69,22,1,1,0,4,0,0,3,1,2,0
강남구,대치1동,2,85,25,5,0,0,1,0,0,0,0,0,1,0
강남구,대치1동,2,90,1,0,0,0,0,0,0,0,0,0,0,0
강남구,대치2동,1,20,"1,753",533,43,28,29,37,0,47,48,29,12,0
강남구,대치2동,1,25,"1,178",369,39,22,16,31,0,41,42,37,16,0
강남구,대치2동,1,30,898,196,12,17,18,16,0,43,10,20,15,0
강남구,대치2동,1,35,740,143,22,7,14,3,0,32,19,11,13,0
강남구,대치2동,1,40,"1,215",171,29,15,21,12,0,34,23,26,36,0
강남구,대치2동,1,45,"2,317",350,63,29,42,21,0,60,37,34,34,0
강남구,대치2동,1,50,"2,215",320,62,14,25,17,0,27,42,27,81,0
강남구,대치2동,1,55,"1,587",229,26,19,17,18,0,16,24,24,24,0
강남구,대치2동,1,60,"1,027",145,16,11,10,14,0,8,14,19,11,0
강남구,대치2동,1,65,768,146,12,4,24,8,0,3,9,6,22,0
강남구,대치2동,1,70,418,70,7,3,2,4,0,1,6,2,4,0
강남구,대치2동,1,75,266,64,2,0,6,2,0,1,1,0,6,1
강남구,대치2동,1,80,121,35,1,0,3,0,0,1,2,0,2,1
강남구,대치2동,1,85,34,10,0,0,1,0,0,0,1,0,1,1
강남구,대치2동,1,90,11,4,0,0,0,0,0,0,0,0,0,0
강남구,대치2동,2,20,"1,376",501,20,20,18,14,0,41,19,25,21,0
강남구,대치2동,2,25,"1,152",338,22,17,18,25,0,36,24,38,19,0
강남구,대치2동,2,30,940,152,3,11,3,10,0,32,11,15,9,0
강남구,대치2동,2,35,955,113,15,11,5,23,0,22,12,8,8,0
강남구,대치2동,2,40,"1,949",149,29,30,14,50,0,23,32,19,16,0
강남구,대치2동,2,45,"2,794",168,15,46,11,58,0,21,25,22,14,0
강남구,대치2동,2,50,"2,080",115,11,14,9,26,0,7,14,6,19,0
강남구,대치2동,2,55,"1,445",72,3,7,8,12,0,4,7,3,4,0
강남구,대치2동,2,60,"1,042",137,9,28,8,46,0,5,17,16,9,0
강남구,대치2동,2,65,742,154,6,8,11,18,0,2,14,11,12,0
강남구,대치2동,2,70,494,107,5,10,2,21,0,1,19,7,4,0
강남구,대치2동,2,75,295,94,1,3,4,6,0,1,3,4,5,2
강남구,대치2동,2,80,123,37,1,1,1,5,0,0,3,3,2,0
강남구,대치2동,2,85,65,21,2,1,1,3,0,0,3,2,0,3
강남구,대치2동,2,90,21,5,2,0,0,0,0,0,1,0,0,3
강남구,대치4동,1,20,833,231,28,32,19,23,0,22,32,11,12,0
강남구,대치4동,1,25,788,181,14,11,18,12,0,27,17,23,22,0
강남구,대치4동,1,30,878,152,13,7,17,11,0,32,17,18,15,0
강남구,대치4동,1,35,774,157,19,7,22,7,0,36,21,12,12,0
